date,taxa_compra_manha,taxa_venda_manha,PU_compra_manha,PU_venda_manha,PU_base_manha
2010-01-04,,,,,
2010-01-05,,,,,
2010-01-06,,,,,
2010-01-07,,,,,
2010-01-08,,,,,
2010-01-11,,,,,
2010-01-12,,,,,
2010-01-13,,,,,
2010-01-14,,,,,
2010-01-15,,,,,
2010-01-18,,,,,
2010-01-19,,,,,
2010-01-20,,,,,
2010-01-21,,,,,
2010-01-22,,,,,
2010-01-25,,,,,
2010-01-26,,,,,
2010-01-27,,,,,
2010-01-28,,,,,
2010-01-29,,,,,
2010-02-01,,,,,
2010-02-02,,,,,
2010-02-03,,,,,
2010-02-04,,,,,
2010-02-05,,,,,
2010-02-08,,,,,
2010-02-09,,,,,
2010-02-10,,,,,
2010-02-11,,,,,
2010-02-12,,,,,
2010-02-17,,,,,
2010-02-18,,,,,
2010-02-19,,,,,
2010-02-22,,,,,
2010-02-23,,,,,
2010-02-24,,,,,
2010-02-25,,,,,
2010-02-26,,,,,
2010-03-01,,,,,
2010-03-02,,,,,
2010-03-03,,,,,
2010-03-04,,,,,
2010-03-05,,,,,
2010-03-08,,,,,
2010-03-09,,,,,
2010-03-10,0.0,0.0004,4161.44,4153.14,4151.75
2010-03-11,0.0,0.0004,4162.81,4154.51,4153.13
2010-03-12,0.0,0.0004,4164.18,4155.89,4154.5
2010-03-15,0.0,0.0004,4165.55,4157.26,4155.88
2010-03-16,0.0,0.0004,4166.92,4158.64,4157.25
2010-03-17,0.0,0.0004,4168.29,4160.02,4158.63
2010-03-18,0.0,0.0004,4169.66,4161.39,4160.0
2010-03-19,0.0,0.0004,4171.04,4162.77,4161.38
2010-03-22,0.0,0.0004,4172.41,4164.15,4162.76
2010-03-23,0.0,0.0004,4173.78,4165.52,4164.13
2010-03-24,0.0,0.0004,4175.16,4166.9,4165.51
2010-03-25,0.0,0.0004,4176.53,4168.28,4166.89
2010-03-26,0.0,0.0004,4177.91,4169.66,4168.27
2010-03-29,0.0,0.0004,4179.28,4171.04,4169.65
2010-03-30,0.0,0.0004,4180.66,4172.42,4171.02
2010-03-31,0.0,0.0004,4182.04,4173.8,4172.41
2010-04-01,0.0,0.0004,4183.41,4175.18,4173.78
2010-04-05,0.0,0.0004,4184.79,4176.56,4175.17
2010-04-06,0.0,0.0004,4186.17,4177.94,4176.55
2010-04-07,0.0,0.0004,4187.55,4179.33,4177.93
2010-04-08,0.0,0.0004,4188.93,4180.71,4179.31
2010-04-09,0.0,0.0004,4190.31,4182.09,4180.69
2010-04-12,0.0,0.0004,4191.69,4183.47,4182.08
2010-04-13,0.0,0.0004,4193.07,4184.86,4183.46
2010-04-14,0.0,0.0004,4194.45,4186.25,4184.85
2010-04-15,0.0,0.0004,4195.83,4187.63,4186.23
2010-04-16,0.0,0.0004,4197.21,4189.02,4187.61
2010-04-19,0.0,0.0004,4198.59,4190.4,4189.0
2010-04-20,0.0,0.0004,4199.97,4191.79,4190.38
2010-04-22,0.0,0.0004,4201.36,4193.18,4191.77
2010-04-23,0.0,0.0004,4202.74,4194.56,4193.16
2010-04-26,0.0,0.0004,4204.12,4195.95,4194.55
2010-04-27,0.0,0.0004,4205.51,4197.33,4195.93
2010-04-28,0.0,0.0004,4206.89,4198.72,4197.32
2010-04-29,0.0,0.0004,4208.39,4200.23,4198.71
2010-04-30,0.0,0.0004,4209.89,4201.73,4200.21
2010-05-03,0.0,0.0004,4211.39,4203.23,4201.71
2010-05-04,0.0,0.0004,4212.89,4204.74,4203.22
2010-05-05,0.0,0.0004,4214.39,4206.24,4204.72
2010-05-06,0.0,0.0004,4215.89,4207.75,4206.23
2010-05-07,0.0,0.0004,4217.4,4209.26,4207.73
2010-05-10,0.0,0.0004,4218.9,4210.77,4209.24
2010-05-11,0.0,0.0004,4220.41,4212.27,4210.75
2010-05-12,0.0,0.0004,4221.91,4213.78,4212.26
2010-05-13,0.0,0.0004,4223.42,4215.29,4213.77
2010-05-14,0.0,0.0004,4224.92,4216.8,4215.27
2010-05-17,0.0,0.0004,4226.43,4218.31,4216.79
2010-05-18,0.0,0.0004,4227.94,4219.82,4218.3
2010-05-19,0.0,0.0004,4229.44,4221.33,4219.81
2010-05-20,0.0,0.0004,4230.95,4222.84,4221.32
2010-05-21,0.0,0.0004,4232.46,4224.36,4222.83
2010-05-24,0.0,0.0004,4233.97,4225.87,4224.34
2010-05-25,0.0,0.0004,4235.48,4227.38,4225.85
2010-05-26,0.0,0.0004,4236.99,4228.9,4227.37
2010-05-27,0.0,0.0004,4238.5,4230.41,4228.88
2010-05-28,0.0,0.0004,4240.01,4231.93,4230.4
2010-05-31,0.0,0.0004,4241.52,4233.44,4231.91
2010-06-01,0.0,0.0004,4243.03,4234.96,4233.42
2010-06-02,0.0,0.0004,4244.54,4236.47,4234.94
2010-06-04,0.0,0.0004,4246.06,4237.99,4236.46
2010-06-07,0.0,0.0004,4247.57,4239.51,4237.97
2010-06-08,0.0,0.0004,4249.09,4241.02,4239.49
2010-06-09,0.0,0.0004,4250.6,4242.55,4241.01
2010-06-10,0.0,0.0004,4252.23,4244.18,4242.53
2010-06-11,0.0,0.0004,4253.86,4245.81,4244.16
2010-06-14,0.0,0.0004,4255.49,4247.45,4245.8
2010-06-15,0.0,0.0004,4257.13,4249.09,4247.44
2010-06-16,0.0,0.0004,4258.76,4250.72,4249.07
2010-06-17,0.0,0.0004,4260.4,4252.36,4250.71
2010-06-18,0.0,0.0004,4262.03,4254.0,4252.34
2010-06-21,0.0,0.0004,4263.67,4255.64,4253.99
2010-06-22,0.0,0.0004,4265.3,4257.28,4255.63
2010-06-23,0.0,0.0004,4266.94,4258.92,4257.26
2010-06-24,0.0,0.0004,4268.58,4260.56,4258.91
2010-06-25,0.0,0.0004,4270.21,4262.2,4260.54
2010-06-28,0.0,0.0004,4271.85,4263.84,4262.19
2010-06-29,0.0,0.0004,4273.49,4265.49,4263.83
2010-06-30,0.0,0.0004,4275.13,4267.13,4265.47
2010-07-01,0.0,0.0004,4276.78,4268.78,4267.12
2010-07-02,0.0,0.0004,4278.42,4270.43,4268.76
2010-07-05,0.0,0.0004,4280.06,4272.07,4270.41
2010-07-06,0.0,0.0004,4281.7,4273.72,4272.06
2010-07-07,0.0,0.0004,4283.35,4275.37,4273.71
2010-07-08,0.0,0.0004,4284.99,4277.02,4275.36
2010-07-09,0.0,0.0004,4286.64,4278.67,4277.0
2010-07-12,0.0,0.0004,4288.29,4280.31,4278.65
2010-07-13,0.0,0.0004,4289.93,4281.97,4280.3
2010-07-14,0.0,0.0004,4291.58,4283.62,4281.95
2010-07-15,0.0,0.0004,4293.23,4285.27,4283.6
2010-07-16,0.0,0.0004,4294.88,4286.92,4285.26
2010-07-19,0.0,0.0004,4296.53,4288.57,4286.91
