date,taxa_compra_manha,taxa_venda_manha,PU_compra_manha,PU_venda_manha,PU_base_manha
2013-01-14,0.086,0.0866,721.27,719.7,719.46
2013-01-15,0.0855,0.0861,722.82,721.25,721.01
2013-01-16,0.0859,0.0865,722.01,720.43,720.2
2013-01-17,0.086,0.0866,721.98,720.41,720.17
2013-01-18,0.0873,0.0879,718.82,717.26,717.02
2013-01-21,0.0878,0.0884,717.76,716.2,715.96
2013-01-22,0.0871,0.0877,719.82,718.25,718.02
2013-01-23,0.0876,0.0882,718.75,717.2,716.96
2013-01-24,0.0875,0.0881,719.49,717.94,717.46
2013-01-28,0.0886,0.0892,716.89,715.34,715.1
2013-01-29,0.089,0.0896,716.1,714.55,714.31
2013-01-30,0.0886,0.0892,717.37,715.82,715.58
2013-01-31,0.0893,0.0899,715.81,714.27,714.03
2013-02-01,0.0895,0.0901,715.54,714.0,713.76
2013-02-04,0.0894,0.09,716.04,714.5,714.26
2013-02-05,0.0899,0.0905,715.0,713.47,713.23
2013-02-06,0.091,0.0916,712.44,710.92,710.67
2013-02-07,0.0912,0.0918,712.18,710.66,710.41
2013-02-08,0.0918,0.0924,710.91,709.39,709.14
2013-02-13,0.0913,0.0919,712.42,710.9,710.66
2013-02-14,0.0913,0.0919,712.67,711.15,710.9
2013-02-15,0.0913,0.0919,712.92,711.4,711.15
2013-02-18,0.0908,0.0914,714.43,712.91,712.66
2013-02-19,0.0922,0.0928,711.14,709.63,709.38
2013-02-20,0.0924,0.093,710.89,709.38,709.13
2013-02-21,0.0924,0.093,711.14,709.63,709.38
2013-02-22,0.0922,0.0928,711.89,710.38,710.13
2013-02-25,0.093,0.0936,710.13,708.63,708.38
2013-02-26,0.0926,0.0932,711.38,709.88,709.63
2013-02-27,0.0924,0.093,712.14,710.63,710.38
2013-02-28,0.0923,0.0929,712.64,711.14,710.88
2013-03-01,0.0922,0.0928,713.14,711.64,711.39
2013-03-04,0.0914,0.092,715.39,713.89,713.64
2013-03-05,0.0913,0.0919,715.89,714.39,714.14
2013-03-06,0.0908,0.0914,717.39,715.89,715.64
2013-03-07,0.0908,0.0914,717.64,716.13,715.89
2013-03-08,0.092,0.0926,714.88,713.39,713.14
2013-03-11,0.0935,0.0941,711.4,709.92,709.66
2013-03-12,0.0934,0.094,711.9,710.42,710.17
2013-03-13,0.094,0.0946,710.67,709.19,708.94
2013-03-14,0.095,0.0956,708.46,706.99,706.73
2013-03-15,0.0948,0.0954,709.21,707.74,707.48
2013-03-18,0.0943,0.0949,710.69,709.22,708.96
2013-03-19,0.0946,0.0952,710.21,708.74,708.48
2013-03-20,0.0942,0.0948,711.45,709.97,709.72
2013-03-21,0.0944,0.095,711.21,709.74,709.48
2013-03-22,0.0952,0.0958,709.51,708.04,707.78
2013-03-25,0.0947,0.0953,710.99,709.52,709.26
2013-03-26,0.0943,0.0949,712.22,710.75,710.5
2013-03-27,0.0943,0.0949,712.47,711.01,710.75
2013-03-28,0.0939,0.0945,713.71,712.24,711.99
2013-04-01,0.095,0.0956,711.28,709.81,709.56
2013-04-02,0.0948,0.0954,712.02,710.56,710.3
2013-04-03,0.094,0.0946,714.23,712.76,712.51
2013-04-04,0.0945,0.0951,713.26,711.8,711.54
2013-04-05,0.0938,0.0944,715.23,713.76,713.51
2013-04-08,0.0922,0.0928,719.4,717.93,717.68
2013-04-09,0.0923,0.0929,719.41,717.94,717.68
2013-04-10,0.0925,0.0931,719.17,717.7,717.45
2013-04-11,0.0922,0.0928,720.16,718.69,718.43
2013-04-12,0.0928,0.0934,718.94,717.47,717.22
2013-04-15,0.0939,0.0945,716.51,715.05,714.8
2013-04-16,0.0939,0.0945,716.77,715.31,715.05
2013-04-17,0.0938,0.0944,717.26,715.81,715.55
2013-04-18,0.093,0.0936,719.47,718.01,717.75
2013-04-19,0.0914,0.092,723.63,722.16,721.91
2013-04-22,0.091,0.0916,724.86,723.39,723.14
2013-04-23,0.0904,0.091,726.59,725.11,724.86
2013-04-24,0.0902,0.0908,727.33,725.85,725.6
2013-04-25,0.0904,0.091,727.09,725.61,725.36
2013-04-26,0.0912,0.0918,725.38,723.91,723.66
2013-04-29,0.0902,0.0908,728.08,726.61,726.35
2013-04-30,0.09,0.0906,728.82,727.35,727.1
2013-05-02,0.0898,0.0904,729.56,728.09,727.84
2013-05-03,0.089,0.0896,731.77,730.3,730.05
2013-05-06,0.0898,0.0904,730.05,728.59,728.34
2013-05-07,0.0894,0.09,731.28,729.81,729.56
2013-05-08,0.0892,0.0898,732.02,730.55,730.3
2013-05-09,0.0893,0.0899,732.03,730.56,730.31
2013-05-10,0.0904,0.091,729.59,728.13,727.87
2013-05-13,0.0917,0.0923,726.68,725.23,724.97
2013-05-14,0.0914,0.092,727.66,726.21,725.95
2013-05-15,0.0927,0.0933,724.77,723.33,723.07
2013-05-16,0.0929,0.0935,724.55,723.11,722.85
