date,taxa_compra_manha,taxa_venda_manha,PU_compra_manha,PU_venda_manha,PU_base_manha
2015-03-10,0.1324,0.1330,487.04,485.55,485.31
2015-03-11,0.1310,0.1316,490.78,489.28,489.04
2015-03-12,0.1304,0.1310,492.53,491.02,490.78
2015-03-13,0.1354,0.1360,480.37,478.91,478.67
2015-03-16,0.1335,0.1341,485.28,483.80,483.56
2015-03-17,0.1336,0.1342,485.27,483.80,483.55
2015-03-18,0.1302,0.1308,493.99,492.48,492.24
2015-03-19,0.1287,0.1293,498.03,496.50,496.26
2015-03-20,0.1326,0.1332,488.47,486.99,486.75
2015-03-23,0.1315,0.1321,491.45,489.96,489.72
2015-03-24,0.1304,0.1310,494.45,492.94,492.70
2015-03-25,0.1302,0.1308,495.19,493.69,493.45
2015-03-26,0.1301,0.1307,495.69,494.18,493.94
2015-03-27,0.1311,0.1317,493.42,491.92,491.68
2015-03-30,0.1318,0.1324,491.91,490.42,490.18
2015-03-31,0.1312,0.1318,493.65,492.15,491.91
2015-04-01,0.1299,0.1305,497.15,495.64,495.40
2015-04-02,0.1281,0.1287,501.95,500.42,500.18
2015-04-06,0.1284,0.1290,501.43,499.90,499.66
2015-04-07,0.1280,0.1286,502.68,501.16,500.92
2015-04-08,0.1278,0.1284,503.43,501.91,501.67
2015-04-09,0.1259,0.1265,508.54,507.00,506.76
2015-04-10,0.1270,0.1276,505.95,504.42,504.18
2015-04-13,0.1257,0.1263,509.53,507.99,507.75
2015-04-14,0.1265,0.1271,507.72,506.18,505.94
2015-04-15,0.1249,0.1255,512.08,510.53,510.29
2015-04-16,0.1247,0.1253,512.84,511.28,511.04
2015-04-17,0.1258,0.1264,510.23,508.69,508.45
2015-04-20,0.1267,0.1273,508.16,506.63,506.39
2015-04-22,0.1271,0.1277,507.38,505.85,505.61
2015-04-23,0.1267,0.1273,508.65,507.11,506.87
2015-04-24,0.1268,0.1274,508.63,507.10,506.86
2015-04-27,0.1275,0.1281,507.09,505.56,505.32
2015-04-28,0.1265,0.1271,509.88,508.35,508.11
2015-04-29,0.1270,0.1276,508.84,507.32,507.07
2015-04-30,0.1262,0.1268,511.13,509.60,509.35
2015-05-04,0.1282,0.1288,506.28,504.76,504.52
2015-05-05,0.1294,0.1300,503.49,501.99,501.74
2015-05-06,0.1295,0.1301,503.48,501.98,501.74
2015-05-07,0.1298,0.1304,502.97,501.47,501.23
2015-05-08,0.1293,0.1299,504.47,502.97,502.72
2015-05-11,0.1274,0.1280,509.52,508.00,507.75
2015-05-12,0.1284,0.1290,507.23,505.72,505.47
2015-05-13,0.1285,0.1291,507.22,505.71,505.46
2015-05-14,0.1281,0.1287,508.47,506.96,506.71
2015-05-15,0.1267,0.1273,512.27,510.74,510.50
2015-05-18,0.1256,0.1262,515.33,513.79,513.55
2015-05-19,0.1267,0.1273,512.76,511.23,510.99
2015-05-20,0.1264,0.1270,513.76,512.23,511.99
2015-05-21,0.1253,0.1259,516.82,515.28,515.04
2015-05-22,0.1248,0.1254,518.35,516.81,516.57
2015-05-25,0.1232,0.1238,522.73,521.17,520.93
2015-05-26,0.1242,0.1248,520.38,518.83,518.59
2015-05-27,0.1246,0.1252,519.59,518.05,517.81
2015-05-28,0.1255,0.1261,517.52,515.99,515.74
2015-05-29,0.1240,0.1246,521.62,520.08,519.83
2015-06-01,0.1241,0.1247,521.61,520.06,519.82
2015-06-02,0.1247,0.1253,520.30,518.76,518.52
2015-06-03,0.1255,0.1261,518.49,516.96,516.72
2015-06-05,0.1261,0.1267,517.20,515.68,515.43
2015-06-08,0.1268,0.1274,515.67,514.15,513.90
