date,taxa_compra_manha,taxa_venda_manha,PU_compra_manha,PU_venda_manha,PU_base_manha
2002-01-02,,,,,
2002-01-03,,,,,
2002-01-04,,,,,
2002-01-07,,,,,
2002-01-08,,,,,
2002-01-09,,,,,
2002-01-10,,,,,
2002-01-11,,,,,
2002-01-14,,,,,
2002-01-15,,,,,
2002-01-16,,,,,
2002-01-17,,,,,
2002-01-18,,,,,
2002-01-21,,,,,
2002-01-22,,,,,
2002-01-23,,,,,
2002-01-24,,,,,
2002-01-25,,,,,
2002-01-28,,,,,
2002-01-29,,,,,
2002-01-30,,,,,
2002-01-31,,,,,
2002-02-01,,,,,
2002-02-04,,,,,
2002-02-05,,,,,
2002-02-06,,,,,
2002-02-07,,,,,
2002-02-08,,,,,
2002-02-13,,,,,
2002-02-14,,,,,
2002-02-15,,,,,
2002-02-18,,,,,
2002-02-19,,,,,
2002-02-20,,,,,
2002-02-21,,,,,
2002-02-22,,,,,
2002-02-25,,,,,
2002-02-26,,,,,
2002-02-27,,,,,
2002-02-28,,,,,
2002-03-01,,,,,
2002-03-04,,,,,
2002-03-05,,,,,
2002-03-06,,,,,
2002-03-07,,,,,
2002-03-08,,,,,
2002-03-11,,,,,
2002-03-12,,,,,
2002-03-13,,,,,
2002-03-14,,,,,
2002-03-15,,,,,
2002-03-18,,,,,
2002-03-19,,,,,
2002-03-20,,,,,
2002-03-21,,,,,
2002-03-22,,,,,
2002-03-25,,,,,
2002-03-26,,,,,
2002-03-27,,,,,
2002-03-28,,,,,
2002-04-01,,,,,
2002-04-02,,,,,
2002-04-03,,,,,
2002-04-04,,,,,
2002-04-05,,,,,
2002-04-08,,,,,
2002-04-09,,,,,
2002-04-10,,,,,
2002-04-11,,,,,
2002-04-12,,,,,
2002-04-15,,,,,
2002-04-16,,,,,
2002-04-17,,,,,
2002-04-18,,,,,
2002-04-19,,,,,
2002-04-22,,,,,
2002-04-23,,,,,
2002-04-24,,,,,
2002-04-25,,,,,
2002-04-26,,,,,
2002-04-29,,,,,
2002-04-30,,,,,
2002-05-02,0.1079,0.1076,799.19,801.07,
2002-05-03,0.1076,0.1078,806.29,805.04,
2002-05-06,0.1074,0.1079,808.03,804.88,
2002-05-07,0.1074,0.1078,808.5,805.98,
2002-05-08,0.1073,0.1079,809.61,805.82,
2002-05-09,0.1074,0.108,809.45,805.67,
2002-05-10,0.1073,0.1079,810.6,806.81,
2002-05-13,0.1073,0.1079,811.05,807.26,
2002-05-14,0.1072,0.1078,812.14,808.35,
2002-05-15,0.1072,0.1078,812.59,808.8,
2002-05-16,0.1075,0.1081,811.15,807.37,
2002-05-17,0.1074,0.108,812.48,808.7,
2002-05-20,0.1073,0.1079,813.57,809.78,
2002-05-21,0.1073,0.1079,814.58,810.78,
2002-05-22,0.1074,0.108,815.06,811.26,
2002-05-23,0.1074,0.108,815.57,811.77,
2002-05-24,0.1076,0.1082,815.17,811.39,
2002-05-27,0.1074,0.108,816.95,813.16,
2002-05-28,0.1074,0.108,817.46,813.67,
2002-05-29,0.1079,0.1085,816.09,812.31,
2002-05-31,0.1079,0.1085,816.92,813.14,
2002-06-03,0.1074,0.108,820.6,816.8,
