date,taxa_compra_manha,taxa_venda_manha,PU_compra_manha,PU_venda_manha,PU_base_manha
2013-01-14,0.0288,0.0294,1865.62,1858.78,1858.09
2013-01-15,0.0289,0.0295,1865.16,1858.33,1857.64
2013-01-16,0.0291,0.0297,1863.56,1856.74,1856.05
2013-01-17,0.0292,0.0298,1863.11,1856.29,1855.61
2013-01-18,0.0297,0.0303,1859.06,1852.26,1850.63
2013-01-21,0.0301,0.0307,1855.21,1848.44,1847.75
2013-01-22,0.0295,0.0301,1862.7,1855.9,1855.21
2013-01-23,0.0297,0.0303,1861.12,1854.33,1853.64
2013-01-24,0.0295,0.0301,1866.57,1859.77,1857.18
2013-01-28,0.0312,0.0318,1848.13,1841.41,1840.65
2013-01-29,0.0315,0.0321,1845.53,1838.83,1838.06
2013-01-30,0.0316,0.0322,1845.17,1838.47,1837.71
2013-01-31,0.0321,0.0327,1840.35,1833.68,1832.91
2013-02-01,0.0325,0.0331,1837.72,1831.07,1829.24
2013-02-04,0.0327,0.0333,1836.27,1829.62,1828.85
2013-02-05,0.0334,0.034,1829.28,1822.67,1821.9
2013-02-06,0.0345,0.0351,1817.95,1811.39,1810.62
2013-02-07,0.0352,0.0358,1810.52,1804.0,1803.25
2013-02-08,0.0362,0.0368,1802.4,1795.92,1793.18
2013-02-13,0.0366,0.0372,1798.83,1792.36,1791.61
2013-02-14,0.0365,0.0371,1800.66,1794.19,1793.44
2013-02-15,0.0364,0.037,1802.77,1796.3,1795.27
2013-02-18,0.036,0.0366,1807.61,1801.12,1800.61
2013-02-19,0.0363,0.0369,1804.87,1798.4,1797.89
2013-02-20,0.0362,0.0368,1806.47,1799.99,1799.48
2013-02-21,0.0364,0.037,1804.82,1798.36,1797.84
2013-02-22,0.0361,0.0367,1809.09,1802.61,1801.59
2013-02-25,0.0369,0.0375,1801.54,1795.1,1794.53
2013-02-26,0.0362,0.0368,1809.65,1803.19,1802.62
2013-02-27,0.0362,0.0368,1810.22,1803.75,1803.19
2013-02-28,0.0359,0.0365,1814.03,1807.55,1806.98
2013-03-01,0.036,0.0366,1814.13,1807.66,1806.47
2013-03-04,0.0354,0.036,1821.19,1814.7,1814.13
2013-03-05,0.0352,0.0358,1823.93,1817.42,1816.86
2013-03-06,0.0346,0.0352,1831.02,1824.49,1823.93
2013-03-07,0.0344,0.035,1833.76,1827.23,1826.67
2013-03-08,0.0349,0.0355,1831.37,1824.85,1823.43
2013-03-11,0.0358,0.0364,1822.25,1815.77,1815.12
2013-03-12,0.036,0.0366,1820.73,1814.26,1813.61
2013-03-13,0.0366,0.0372,1814.91,1808.47,1807.82
2013-03-14,0.0374,0.038,1806.97,1800.57,1799.92
2013-03-15,0.0372,0.0378,1810.28,1803.87,1802.7
2013-03-18,0.0366,0.0372,1817.29,1810.85,1810.28
2013-03-19,0.0366,0.0372,1817.85,1811.42,1810.85
2013-03-20,0.0362,0.0368,1822.72,1816.27,1815.7
2013-03-21,0.0366,0.0372,1818.98,1812.55,1811.98
2013-03-22,0.0375,0.0381,1810.52,1804.13,1802.95
2013-03-25,0.0375,0.0381,1810.95,1804.57,1804.01
2013-03-26,0.0371,0.0377,1815.78,1809.38,1808.82
2013-03-27,0.0368,0.0374,1819.55,1813.13,1812.58
2013-03-28,0.0366,0.0372,1823.12,1816.7,1815.27
2013-04-01,0.0376,0.0382,1812.99,1806.61,1806.05
