date,taxa_compra_manha,taxa_venda_manha,PU_compra_manha,PU_venda_manha,PU_base_manha
2012-06-01,0.0457,0.0467,2741.85,2696.91,2695.32
2012-06-04,0.0468,0.0478,2693.33,2649.66,2648.81
2012-06-05,0.0487,0.0497,2612.18,2570.63,2569.79
2012-06-06,0.049,0.05,2599.6,2558.38,2557.29
2012-06-08,0.0484,0.0494,2626.25,2584.37,2582.98
2012-06-11,0.0474,0.0484,2670.04,2627.05,2626.25
2012-06-12,0.0489,0.0499,2606.77,2565.42,2564.63
2012-06-13,0.0488,0.0498,2611.76,2570.31,2569.51
2012-06-14,0.0485,0.0495,2625.2,2583.42,2582.63
2012-06-15,0.0484,0.0494,2630.46,2588.56,2587.55
2012-06-18,0.0496,0.0506,2580.98,2540.37,2539.7
2012-06-19,0.0495,0.0505,2585.77,2545.05,2544.38
2012-06-20,0.0491,0.0501,2603.02,2561.88,2561.21
2012-06-21,0.0488,0.0498,2616.24,2574.78,2574.11
2012-06-22,0.048,0.049,2650.52,2608.18,2607.38
2012-06-25,0.0478,0.0488,2659.72,2617.16,2616.56
2012-06-26,0.0468,0.0478,2704.0,2660.32,2659.72
2012-06-27,0.0468,0.0478,2704.6,2660.92,2660.32
2012-06-28,0.0471,0.0481,2691.97,2648.63,2648.03
2012-06-29,0.0474,0.0484,2679.67,2636.66,2635.85
2012-07-02,0.0475,0.0485,2675.91,2633.02,2632.42
2012-07-03,0.0472,0.0482,2689.6,2646.37,2645.77
2012-07-04,0.0472,0.0482,2690.2,2646.97,2646.37
2012-07-05,0.0476,0.0486,2673.37,2630.6,2629.99
2012-07-06,0.0481,0.0491,2651.81,2609.6,2608.89
2012-07-09,0.0477,0.0487,2669.57,2626.91,2626.35
2012-07-10,0.0477,0.0487,2670.14,2627.48,2626.91
2012-07-11,0.0475,0.0485,2679.37,2636.49,2635.92
2012-07-12,0.0468,0.0478,2710.62,2666.95,2666.39
2012-07-13,0.047,0.048,2702.63,2659.18,2658.35
2012-07-16,0.0465,0.0475,2725.48,2681.46,2680.76
2012-07-17,0.046,0.047,2748.62,2704.01,2703.32
2012-07-18,0.0459,0.0469,2753.84,2709.12,2708.42
2012-07-19,0.0456,0.0466,2768.19,2723.1,2722.41
2012-07-20,0.0452,0.0462,2787.67,2742.1,2740.99
2012-07-23,0.0442,0.0452,2836.39,2789.57,2788.74
2012-07-24,0.044,0.045,2846.74,2799.67,2798.84
2012-07-25,0.0446,0.0456,2819.18,2772.85,2772.02
2012-07-26,0.0443,0.0453,2834.15,2787.45,2786.62
2012-07-27,0.0444,0.0454,2830.95,2784.36,2782.85
2012-07-30,0.0454,0.0464,2785.19,2739.82,2738.99
2012-07-31,0.0454,0.0464,2786.02,2740.64,2739.82
2012-08-01,0.0451,0.0461,2800.71,2754.96,2754.13
2012-08-02,0.0448,0.0458,2815.5,2769.39,2768.56
2012-08-03,0.0448,0.0458,2817.03,2770.9,2769.39
2012-08-06,0.0449,0.0459,2813.19,2767.18,2766.35
2012-08-07,0.0448,0.0458,2818.7,2772.56,2771.73
2012-08-08,0.0443,0.0453,2844.2,2797.43,2796.55
2012-08-09,0.0443,0.0453,2845.09,2798.31,2797.43
2012-08-10,0.0446,0.0456,2832.59,2786.17,2784.52
2012-08-13,0.0452,0.0462,2805.47,2759.78,2758.9
2012-08-14,0.0451,0.0461,2746.95,2701.13,2764.29
2012-08-15,0.0452,0.0462,2743.12,2697.42,2696.62
2012-08-16,0.0445,0.0455,2776.65,2730.09,2729.28
2012-08-17,0.0449,0.0459,2759.34,2713.26,2711.81
2012-08-20,0.0447,0.0457,2769.52,2723.19,2722.38
2012-08-21,0.0451,0.0461,2751.65,2705.8,2705.0
2012-08-22,0.0447,0.0457,2771.14,2724.8,2724.0
2012-08-23,0.0449,0.0459,2762.66,2716.57,2715.75
2012-08-24,0.0449,0.0459,2764.16,2718.05,2716.57
2012-08-27,0.0447,0.0457,2774.35,2727.99,2727.18
2012-08-28,0.0444,0.0454,2789.32,2742.59,2741.77
2012-08-29,0.0442,0.0452,2799.64,2752.66,2751.84
2012-08-30,0.0442,0.0452,2800.46,2753.48,2752.66
2012-08-31,0.0439,0.0449,2816.32,2768.94,2767.44
2012-09-03,0.0437,0.0447,2826.77,2779.14,2778.32
2012-09-04,0.0437,0.0447,2827.6,2779.96,2779.14
2012-09-05,0.0438,0.0448,2824.2,2776.68,2775.83
2012-09-06,0.044,0.045,2816.56,2769.27,2767.32
2012-09-10,0.0442,0.0452,2807.86,2760.81,2759.96
2012-09-11,0.0444,0.0454,2799.2,2752.39,2751.55
2012-09-12,0.0445,0.0455,2795.31,2748.63,2747.78
2012-09-13,0.0443,0.0453,2805.65,2758.72,2757.87
2012-09-14,0.0443,0.0453,2807.4,2760.45,2758.72
2012-09-17,0.0443,0.0453,2808.33,2761.37,2749.18
2012-09-18,0.0443,0.0453,2809.26,2762.3,2750.1
2012-09-19,0.0445,0.0455,2800.7,2753.98,2741.81
2012-09-20,0.0447,0.0457,2792.19,2745.71,2733.58
2012-09-21,0.0446,0.0456,2799.23,2752.6,2739.4
2012-09-24,0.0447,0.0457,2795.5,2748.98,2736.78
2012-09-25,0.0448,0.0458,2791.78,2745.38,2744.4
2012-09-26,0.0447,0.0457,2797.47,2750.94,2749.96
2012-09-27,0.0447,0.0457,2798.46,2751.93,2750.94
2012-09-28,0.0443,0.0453,2819.42,2772.37,2770.39
2012-10-01,0.0437,0.0447,2849.25,2801.44,2800.45
2012-10-02,0.0434,0.0444,2864.85,2816.64,2815.65
2012-10-03,0.0431,0.0441,2880.56,2831.96,2830.97
2012-10-04,0.0431,0.0441,2881.56,2832.96,2831.96
2012-10-05,0.043,0.044,2889.19,2840.42,2838.32
2012-10-08,0.0417,0.0427,2955.6,2905.11,2904.07
2012-10-09,0.0423,0.0433,2926.18,2876.48,2875.45
2012-10-10,0.0422,0.0432,2932.26,2882.42,2881.39
2012-10-11,0.0422,0.0432,2934.96,2885.09,2882.42
2012-10-15,0.0411,0.0421,2992.37,2941.0,2940.03
2012-10-16,0.041,0.042,2998.57,2947.05,2946.07
2012-10-17,0.0405,0.0415,3025.84,2973.61,2972.63
2012-10-18,0.0411,0.0421,2995.31,2943.92,2942.95
2012-10-19,0.0409,0.0419,3007.75,2956.05,2954.09
2012-10-22,0.0405,0.0415,3030.27,2978.0,2976.96
2012-10-23,0.04,0.041,3057.98,3005.0,3003.96
2012-10-24,0.0397,0.0407,3075.21,3021.78,3020.74
2012-10-25,0.0398,0.0408,3070.85,3017.56,3016.52
2012-10-26,0.0402,0.0412,3051.55,2998.81,2996.65
2012-10-29,0.0402,0.0412,3052.59,2999.85,2998.81
2012-10-30,0.0403,0.0413,3048.3,2995.69,2994.65
