date,taxa-mensal,acumulado-12-meses
1995-01-01,3.47,
1995-02-01,3.23,
1995-03-01,4.41,
1995-04-01,4.22,
1995-05-01,4.27,
1995-06-01,4.05,
1995-07-01,4.01,
1995-08-01,3.81,
1995-09-01,3.25,
1995-10-01,3.06,
1995-11-01,2.84,
1995-12-01,2.73,53.0625136
1996-01-01,2.56,51.71635639
1996-02-01,2.31,50.36423929
1996-03-01,2.2,47.18154636
1996-04-01,2.03,44.08878502
1996-05-01,2,40.95191399
1996-06-01,1.94,38.0935907
1996-07-01,1.91,35.30543052
1996-08-01,1.95,32.8811159
1996-09-01,1.88,31.11794758
1996-10-01,1.86,29.59124918
1996-11-01,1.79,28.26811799
1996-12-01,1.62,26.88217804
1997-01-01,1.74,25.86771445
1997-02-01,1.65,25.05574405
1997-03-01,1.63,24.35827072
1997-04-01,1.65,23.89511143
1997-05-01,1.58,23.38495509
1997-06-01,1.59,22.96132615
1997-07-01,1.54,22.51489605
1997-08-01,1.58,22.07026132
1997-09-01,1.58,21.71080825
1997-10-01,1.68,21.49572926
1997-11-01,2.99,22.92803966
1997-12-01,2.92,24.50062824
1998-01-01,2.67,25.63868195
1998-02-01,2.11,26.2072387
1998-03-01,2.18,26.8902455
1998-04-01,1.69,26.94017772
1998-05-01,1.63,27.00266058
1998-06-01,1.6,27.01516207
1998-07-01,1.69,27.20279526
1998-08-01,1.47,27.06504858
1998-09-01,2.49,28.20335528
1998-10-01,2.92,29.76681083
1998-11-01,2.46,29.09901386
1998-12-01,2.38,28.42165798
1999-01-01,2.17,27.79624813
1999-02-01,2.35,28.09662126
1999-03-01,3.28,29.47562188
1999-04-01,2.28,30.22683259
1999-05-01,1.96,30.64968858
1999-06-01,1.64,30.70112547
1999-07-01,1.62,30.61115518
1999-08-01,1.55,30.71413036
1999-09-01,1.47,29.41323844
1999-10-01,1.38,27.47681805
1999-11-01,1.37,26.12068169
1999-12-01,1.58,25.13517138
2000-01-01,1.44,24.24108627
2000-02-01,1.44,23.13645131
2000-03-01,1.44,20.94269579
2000-04-01,1.28,19.76022907
2000-05-01,1.49,19.20817623
2000-06-01,1.39,18.91496446
2000-07-01,1.3,18.54050285
2000-08-01,1.4,18.3654061
2000-09-01,1.22,18.07377949
2000-10-01,1.28,17.95731295
2000-11-01,1.21,17.77113193
2000-12-01,1.19,17.3189687
2001-01-01,1.26,17.11079229
2001-02-01,1.01,16.61436445
2001-03-01,1.25,16.39594243
2001-04-01,1.18,16.28101753
2001-05-01,1.33,16.09769934
2001-06-01,1.27,15.96029206
2001-07-01,1.5,16.18923637
2001-08-01,1.6,16.41840646
2001-09-01,1.32,16.53342168
2001-10-01,1.54,16.83257936
2001-11-01,1.39,17.04036381
2001-12-01,1.39,17.27169174
2002-01-01,1.53,17.58438537
2002-02-01,1.25,17.86376614
2002-03-01,1.37,18.00345653
2002-04-01,1.48,18.3533383
2002-05-01,1.4,18.43509823
2002-06-01,1.31,18.48187816
2002-07-01,1.54,18.52857053
2002-08-01,1.45,18.35357756
2002-09-01,1.38,18.42366456
2002-10-01,1.64,18.54029216
2002-11-01,1.53,18.7039734
2002-12-01,1.73,19.10203387
2003-01-01,1.97,19.61818569
2003-02-01,1.83,20.30340592
2003-03-01,1.77,20.77811601
2003-04-01,1.87,21.24228102
2003-05-01,1.96,21.91186364
2003-06-01,1.85,22.56167517
2003-07-01,2.08,23.21347057
2003-08-01,1.76,23.58997304
2003-09-01,1.67,23.94350522
2003-10-01,1.63,23.93131086
2003-11-01,1.34,23.69938976
2003-12-01,1.37,23.26164494
2004-01-01,1.26,22.40339479
2004-02-01,1.08,21.50186728
2004-03-01,1.37,21.02431253
2004-04-01,1.17,20.19269362
2004-05-01,1.22,19.32036532
2004-06-01,1.22,18.58230121
2004-07-01,1.28,17.65297283
2004-08-01,1.29,17.10956778
2004-09-01,1.24,16.61426814
2004-10-01,1.21,16.13234359
2004-11-01,1.25,16.02920652
2004-12-01,1.48,16.15511372
2005-01-01,1.38,16.29276544
2005-02-01,1.22,16.45383575
2005-03-01,1.52,16.62615572
2005-04-01,1.41,16.90282151
2005-05-01,1.5,17.22620414
2005-06-01,1.58,17.64313195
2005-07-01,1.51,17.91029151
2005-08-01,1.65,18.32936255
2005-09-01,1.5,18.63325068
2005-10-01,1.4,18.85595908
2005-11-01,1.38,19.00856426
2005-12-01,1.47,18.99683697
2006-01-01,1.43,19.05552549
2006-02-01,1.14,18.96142905
2006-03-01,1.42,18.84424876
2006-04-01,1.08,18.45751567
2006-05-01,1.28,18.20076047
2006-06-01,1.18,17.73531152
2006-07-01,1.17,17.34096607
2006-08-01,1.25,16.879221
2006-09-01,1.05,16.36103727
2006-10-01,1.09,16.00529839
2006-11-01,1.02,15.59336401
2006-12-01,0.98,15.0351621
2007-01-01,1.08,14.63821537
2007-02-01,0.87,14.33218098
2007-03-01,1.05,13.91507482
2007-04-01,0.94,13.75729771
2007-05-01,1.02,13.46526673
2007-06-01,0.9,13.15126915
2007-07-01,0.97,12.92758373
2007-08-01,0.99,12.63759685
2007-09-01,0.8,12.35892887
2007-10-01,0.92,12.16997826
2007-11-01,0.84,11.97011094
2007-12-01,0.84,11.81487411
2008-01-01,0.9216,11.63965175
2008-02-01,0.7948,11.55642282
2008-03-01,0.8383,11.32271184
2008-04-01,0.898,11.27639171
2008-05-01,0.871,11.11226399
2008-06-01,0.9482,11.1653424
