date,taxa-mensalizada,taxa-anual,taxa-acc-ano,taxa-acc-12-meses,taxa-anual-*,fator-diario-*
2002-01-01,1.4884,19,1.49,17.74,19.05,1.0006922
2002-02-01,1.3387,18.93,2.85,18.03,19.05,1.0006922
2002-03-01,1.4638,18.66,4.35,18.31,18.8,1.00068385
2002-04-01,1.4049,18.5,5.82,18.52,18.47,1.0006728
2002-05-01,1.4521,18.5,7.36,18.7,18.37,1.00066945
2002-06-01,1.4049,18.5,8.86,18.8,17.31,1.00063373
2002-07-01,1.4356,18.27,10.43,18.78,18.41,1.00067079
2002-08-01,1.4157,18,11.99,18.69,17.83,1.00065129
2002-09-01,1.3697,18,13.52,18.61,17.87,1.00065264
2002-10-01,1.5343,19.64,15.27,18.67,17.9,1.00065365
2002-11-01,1.602,21.33,17.11,18.85,20.9,1.00075343
2002-12-01,1.7912,23.25,19.21,19.21,21.9,1.00078615
2003-01-01,1.9233,25.14,1.92,19.72,24.9,1.0008827
2003-02-01,1.7776,25.82,3.74,20.24,25.38,1.00089794
2003-03-01,2.0166,26.5,5.83,20.89,26.29,1.00092666
2003-04-01,1.9509,26.5,7.89,21.54,26.32,1.00092761
2003-05-01,2.0166,26.5,10.07,22.22,26.32,1.00092761
2003-06-01,1.9376,26.3,12.2,22.86,26.26,1.00092572
2003-07-01,1.9555,25.61,14.39,23.49,25.76,1.00090996
2003-08-01,1.8163,23.61,16.47,23.98,24.33,1.00086454
2003-09-01,1.588,21.13,18.32,24.25,21.83,1.00078386
2003-10-01,1.5396,19.71,20.14,24.25,19.83,1.00071813
2003-11-01,1.4013,18.45,21.83,24.01,18.85,1.00068552
2003-12-01,1.3459,17.05,23.47,23.47,17.31,1.00063373
2004-01-01,1.3044,16.53,1.3,22.72,16.34,1.00060076
2004-02-01,1.2174,15.36,2.54,22.04,16.29,1.00059906
2004-03-01,1.2936,16.39,3.89,21.18,16.29,1.00059906
2004-04-01,1.2323,15.56,5.14,20.32,16.1,1.00059256
2004-05-01,1.265,16,6.47,19.44,15.79,1.00058195
2004-06-01,1.224,16,7.78,18.6,15.78,1.0005816
2004-07-01,1.265,16,9.14,17.8,15.8,1.00058229
2004-08-01,1.265,16,10.52,17.16,15.82,1.00058298
2004-09-01,1.2329,16.12,11.88,16.75,15.92,1.0005864
2004-10-01,1.2966,16.43,13.33,16.47,16.23,1.00059701
2004-11-01,1.2928,16.97,14.8,16.35,16.74,1.00061439
2004-12-01,1.3759,17.51,16.38,16.38,17.23,1.00063102
2005-01-01,1.4076,17.89,1.41,16.5,17.74,1.00064826
2005-02-01,1.3047,18.41,2.73,16.6,18.24,1.00066509
2005-03-01,1.4837,18.94,4.25,16.82,18.74,1.00068184
2005-04-01,1.4633,19.33,5.79,17.09,19.24,1.00069853
2005-05-01,1.5321,19.6,7.41,17.4,19.5,1.00070718
2005-06-01,1.4924,19.75,9.01,17.71,19.76,1.00071581
2005-07-01,1.5425,19.75,10.69,18.03,19.73,1.00071481
2005-08-01,1.5425,19.75,12.4,18.36,19.74,1.00071515
2005-09-01,1.4831,19.62,14.07,18.65,19.74,1.00071515
2005-10-01,1.5105,19.31,15.79,18.9,19.48,1.00070651
2005-11-01,1.4318,18.88,17.45,19.07,18.95,1.00068886
2005-12-01,1.4321,18.23,19.13,19.13,18.52,1.00067448
2006-01-01,1.3926,17.68,1.39,19.11,17.98,1.00065635
2006-02-01,1.2283,17.25,2.64,19.02,17.23,1.00063102
